Method,Daily VMT,Site
LBS-LBS,73649.7,CA-1A
LEHD-LBS,21615.3,CA-1A
TDM-LBS,35329.12717,CA-1A
ITE-LBS,260653.8,CA-1A
LBS-LEHD,122749.5,CA-1A
LEHD-LEHD,36025.5,CA-1A
TDM-LEHD,58881.87861,CA-1A
ITE-LEHD,434423,CA-1A
LBS-TDM,54816.9,CA-1A
LEHD-TDM,16088.1,CA-1A
TDM-TDM,26295.19511,CA-1A
ITE-TDM,194002.6,CA-1A
LBS-LBS,48878,CA-1B
LEHD-LBS,39594,CA-1B
TDM-LBS,31157.87055,CA-1B
ITE-LBS,229456,CA-1B
LBS-LEHD,63546,CA-1B
LEHD-LEHD,51476,CA-1B
TDM-LEHD,40433.87781,CA-1B
ITE-LEHD,298316,CA-1B
LBS-TDM,30464.7,CA-1B
LEHD-TDM,24678.2,CA-1B
TDM-TDM,19384.47671,CA-1B
ITE-TDM,143016.2,CA-1B
LBS-LBS,8944,CA-1C
LEHD-LBS,,CA-1C
TDM-LBS,6698.069016,CA-1C
ITE-LBS,49453,CA-1C
LBS-LEHD,11456.25,CA-1C
LEHD-LEHD,,CA-1C
TDM-LEHD,8585.706648,CA-1C
ITE-LEHD,63344.25,CA-1C
LBS-TDM,5297.5,CA-1C
LEHD-TDM,,CA-1C
TDM-TDM,3970.12818,CA-1C
ITE-TDM,29291.1,CA-1C
LBS-LBS,208980,CA-2
LEHD-LBS,92802,CA-2
TDM-LBS,106352,CA-2
ITE-LBS,355725,CA-2
LBS-LEHD,526281.3,CA-2
LEHD-LEHD,241255.8,CA-2
TDM-LEHD,257238.9,CA-2
ITE-LEHD,924001.2,CA-2
LBS-TDM,267900.3,CA-2
LEHD-TDM,122809.8,CA-2
TDM-TDM,130945.9,CA-2
ITE-TDM,470357.2,CA-2
LBS-LBS,9607,UT-1A
LEHD-LBS,12097,UT-1A
TDM-LBS,6279.984466,UT-1A
ITE-LBS,4569,UT-1A
LBS-LEHD,22041.6,UT-1A
LEHD-LEHD,27753.6,UT-1A
TDM-LEHD,14452.56699,UT-1A
ITE-LEHD,10483.2,UT-1A
LBS-TDM,8265.6,UT-1A
LEHD-TDM,10407.6,UT-1A
TDM-TDM,5419.712621,UT-1A
ITE-TDM,3931.2,UT-1A
LBS-LBS,82994,UT-1B
LEHD-LBS,38829,UT-1B
TDM-LBS,34320.84854,UT-1B
ITE-LBS,25011,UT-1B
LBS-LEHD,185270,UT-1B
LEHD-LEHD,86679.2,UT-1B
TDM-LEHD,76973.92621,UT-1B
ITE-LEHD,55833.2,UT-1B
LBS-TDM,60165,UT-1B
LEHD-TDM,28148.4,UT-1B
TDM-TDM,24996.68738,UT-1B
ITE-TDM,18131.4,UT-1B
LBS-LBS,81074,UT-2
LEHD-LBS,58910,UT-2
TDM-LBS,44000,UT-2
ITE-LBS,31236,UT-2
LBS-LEHD,111973.2,UT-2
LEHD-LEHD,82137.6,UT-2
TDM-LEHD,60720,UT-2
ITE-LEHD,43552.8,UT-2
LBS-TDM,46249.8,UT-2
LEHD-TDM,33926.4,UT-2
TDM-TDM,25080,UT-2
ITE-TDM,17989.2,UT-2
LBS-LBS,13267.5,UT-3
LEHD-LBS,8015.4,UT-3
TDM-LBS,7503,UT-3
ITE-LBS,3916.2,UT-3
LBS-LEHD,25158,UT-3
LEHD-LEHD,15198.6,UT-3
TDM-LEHD,14227,UT-3
ITE-LEHD,7425.8,UT-3
LBS-TDM,10802.5,UT-3
LEHD-TDM,6526.2,UT-3
TDM-TDM,6109,UT-3
ITE-TDM,3188.6,UT-3
